id,price_doc
30474,5201769.5
30475,7708330.5
30476,5365227.0
30477,5328482.5
30478,4887486.0
30479,7688277.0
30480,4323128.0
30481,4107516.0
30482,4909467.0
30483,4439636.5
30484,6247504.5
30485,5058937.0
30486,3747381.5
30487,4402155.5
30488,5965815.0
30489,6260539.5
30490,18283424.0
30491,18805542.0
30492,6149499.0
30493,15306408.0
30494,6712500.0
30495,10771500.0
30496,10923232.0
30497,8161351.0
30498,4568952.0
30499,7762660.5
30500,10400068.0
30501,6091247.0
30502,3511014.75
30503,6297592.0
30504,5630290.0
30505,12433300.0
30506,3774328.75
30507,4629457.0
30508,5687998.0
30509,7122908.5
30510,8623058.0
30511,6118106.5
30512,6258193.0
30513,4427180.5
30514,4209129.5
30515,8324620.5
30516,5552553.0
30517,10552892.0
30518,6115131.0
30519,4673458.0
30520,6559985.0
30521,5685501.5
30522,7768970.5
30523,6854564.5
30524,8950846.0
30525,8725840.0
30526,4770681.0
30527,5352800.5
30528,5957275.0
30529,5992665.0
30530,5733157.0
30531,13057998.0
30532,4549234.5
30533,11510890.0
30534,6632123.0
30535,8665888.0
30536,5510844.5
30537,11854934.0
30538,5083642.0
30539,2115776.0
30540,8845390.0
30541,6716621.0
30542,2461333.5
30543,5189977.5
30544,7673437.5
30545,7290229.5
30546,4068475.75
30547,8163532.0
30548,4504951.5
30549,4674468.0
30550,11823560.0
30551,4670576.5
30552,2432743.0
30553,6635141.0
30554,11261704.0
30555,6267360.0
30556,8452794.0
30557,8161022.0
30558,8628562.0
30559,6243168.0
30560,5524066.0
30561,6465918.0
30562,9516924.0
30563,5090225.5
30564,6526383.0
30565,7346006.5
30566,7401501.5
30567,2419769.5
30568,9961648.0
30569,8198740.5
30570,5978491.5
30571,6664219.5
30572,4739097.5
30573,5843383.5
30574,6245921.0
30575,6462427.5
30576,5093899.0
30577,5109870.0
30578,3810713.0
30579,7137245.5
30580,5172153.0
30581,5022488.5
30582,12606480.0
30583,6353527.0
30584,4412755.0
30585,3044366.75
30586,8791050.0
30587,6207477.0
30588,7922325.5
30589,7498580.5
30590,11876538.0
30591,5046642.0
30592,6559218.0
30593,10901734.0
30594,3109231.0
30595,5103654.0
30596,6701500.5
30597,5843383.5
30598,8703984.0
